och;and
i början;1. initially- at the beginning- 2. [~ av sextiotalet] in the early sixties
en aktivitet;an activity (loan word)
en ost;1. a cheese- 2 [jag gillar såväl ~ som öl] I like both cheese and beer
ett fängelse;a prison
motsvarande;corresponding
att synas;to be visible
en mor;1. a mother- 2. [för din ~s skull] for your mother's sake
samman;1. together- 2. [hela hennes värld rasade ~] her whole world fell to pieces- her whole world collapsed (not: "tillsammans" or "ihop")
en ledamot;1. a member (of a committee- board or other supervisory body)- 2. [styrelse~] member of the board (e.g. of directors of a company)
i enlighet med;1. in accordance with- according to- 2. [ ~ lagen] in accordance with the law
civil;1. civil- civilian - i.e. non-military- not official- 2. [i ~a kläder] in civilian clothing (loan word)
uppenbar;obvious- apparent- evident (NOT: "självklar")
en skull;1. (a) sake- 2. [för din mors ~] for your mother's sake
en arbetslöshet;an unemployment
fysisk;physical (loan word)
en generation;a generation (loan word)
ända;1. up until- as far as- all the way to- 2. [~ fram till dörren] right up to the door- 3. [~ till slutet] to the end- right to the very end
av och an;to and fro- back and forth (not: "fram och tillbaka")
att slippa;1. to not have to- to get away (with not doing sth.)- 2. to get away from- 3. to sneak off
självklart;1. self-evident- self-explanatory- 2. obviously- 3. naturally
lämplig;suitable- appropriate
ett ting;1. a thing- an object- 2. a matter- 3. (legal term) district court sessions
ett minne;1. a recollection- a memory- 2. [i manna~] in living memory- 3. [det var ett ~ blott] it was just a memory- it was but a memory
en strategi;a strategy (loan word)
att dyka;1. to dive- 2. [att ~ upp] a) to show up- to turn up- to appear- b) to emerge- to surface
att orka;to have strength- power or stamina enough to do sth.
att kontrollera;1. to have control over sth.- 2. to check (loan word)
att planera;to plan (loan word)
en färg;1. a colour- 2. [alla regnbågens ~er] all the colours of the rainbow
att lova;to promise
att citera;to cite- to quote- to quote from (loan word)
finansiell;financial (loan word)
ständigt;constantly (not a loan word)
ett spår;1. a trace (a mark left by something that has passed by- 2. a rail track- 3. [en ~vagn] a tram
kall;1. cold- 2. [det ~a kriget] the Cold War
vuxen;adult
en allians;an alliance (loan word)
en faktor;a factor (loan word)
en kvalitet;a quality (loan word)
utländsk;foreign
svag;1. weak- feeble- faint- 2. [på ~ värme] on low heat- 3. [att vara ~ för] to have a weakness for- to be fond of
att sköta;to care for- to nurse
upp;1. up- upwards- upstairs- 2. [~ och ned] up and down- 3. out- 4. functions like the prefix un-: [att  knyta ~] to untie- [att packa ~] to unpack- 5. open- [att slå ~ dörren] to open the door
återigen;once again
djup;1. deep- 2. [en ~ röst] a deep voice- 3. [en ~ tallrik] a soup bowl
ett initiativ;an initiative (loan word)
att fastställa;to appoint- to fix- to establish- to lay down (time- price)
ett parlament;a parliament (loan word)
en säsong;1. a season (e.g. in sport- TV series etc.)- 2. [jakt~en] the hunting season (loan word from French)
levande;1. living- 2. [ett ~ ljus] a candle
att hota;to threaten
tusentals;1. thousands of- 2. [~ fåglar] thousands of birds
eventuell;1. possible- potential- any- (in English expressed also with 'might' or 'if')- 2. [vid ~a frågor kontakta vår kundtjänst] if you have any questions- please contact customer service
en pojke;1. a boy- 2. [de flesta ~ar] most boys
en version;a version (loan word)
att existera;to exist (loan word)
trött;1. tired- 2. [jag är ~ på hela historien] I am tired of the whole story
en himmel;1. a sky- 2. [en gåva från ~en] a gift from heaven- heaven-sent
en reaktion;a reaction (loan word)
dyr;1. expensive- dear- 2. [~a vanor] expensive habits
normal;normal (loan word)
att rikta;to direct- to aim (a question- a blow etc)
en kurs;1. a course- 2. [en svensk~] a Swedish course
ett påstående;1. a claim- an allegation- an assertion- 2. a statement
märklig;1. odd- peculiar- strange- 2. (dated usage) remarkable- notable- noteworthy
en affär;1. a shop- 2. [en järn~] a hardware store- an ironmonger's- 3. (a) business- 4. [ett ~smöte] a business meeting
att tacka;1. to thank- 2. [att ~ ja till något] to accept something with many thanks- 3. [att ~ nej till något] to decline an offer (but with gratitude for the offer)
en öst;(an) east
en bit;1. a bit- a piece- 2. [socker~ar] sugar cubes
muslimsk;Muslim
vetenskaplig;scientific- scholarly
överens;1. agreed- 2. [att komma ~ om något] to agree on something- 3. [vi kom ~ om att hålla tyst] we agreed to keep quiet
framtida;1. future- 2. [~ vinster] future profits
ett bevis;1. an evidence- a proof- 2. [ett ~ på att jorden är rund] proof that the earth is round
fast;1. firm- permanent- fixed- 2. solid- 3. [en ~ anställning] a permanent job- 4. [~ föda] solid food
sexuell;1. sexual- 2. [~t övergrepp] sexual assault
exakt;exactly (loan word)
en arbetsmarknad;a labour market
underbar;1. wonderful- wondrous- magic- 2. [verkligheten är ~are än dikten] truth is stranger than fiction
en post;a post- a mail
extra;1. extra- additional- 2. special- 3. assistant- 4. temporary- spare- 5. [han är bara ~] he's just one of the temporary staff
ett offer;a sacrifice- a victim
en sektor;a sector (loan word)
en vinst;1. a profit- 2. [framtida ~er] future profits
England;England
ett inflytande;1. an influence- 2. [att utöva ~] to exert- wield- have influence on s.o.
ett budskap;1. a message- 2. an announcement- 3. news
att klicka;to click (loan word)
ett tips;1. a tip-off- a tip- 2. a suggestion
ett världskrig;1. a world war- 2. [andra ~et] the Second World War
med tanke på;considering
självklar;self-evident- obvious
en båt;a boat
begränsad;1. limited- restricted- 2. [min tid är starkt ~] my time is very limited
äntligen;1. at last- finally- 2. [~ fredag!] thank God it's Friday!
vänster;1. left (direction)- 2. [~hänt] left-handed
ner;down (showing movement)
att väcka;1. to wake- 2. [en ~rklocka] an alarm clock
att leta;1. to search- to look- 2. [har du ~t ordentligt?] have you looked properly? 3. to look for sth.- 4. [att ~ sig] to find (one's- its) way (somewhere)
en häst;1. a horse- 2. [~kraft] horsepower
en kategori;a category (loan word)
brittisk;1. British- 2. [under ~t styre] under British rule
en följd;1. a result- a consequence- 2. a series- a sequence- 3. [till ~ av] as a consequence of- 4. [sex år i ~] six years in a row
en ed;1. an oath- 2. a curse- 3. [att avlägga ~en] to take the oath- to be sworn in (to a job)
en fred;1. a situation where there is no conflict- no war- 2. a peace- 3. [lämna oss i ~!] leave us in peace! (i.e. stop disturbing us)
traditionell;traditional (loan word)
en användning;1. a use- a utilization- 2. (more formal) an employment- 3. an application- 4. a usage
att riskera;to risk (loan word)
att tappa;1. to drop sth.- 2. to lose sth. (but not in sporting sense)- 3. [att ~ modet] to lose heart- to become discouraged
en inkomst;an income
nöjd;satisfied- content
kläder;1. clothes (plural)- 2. [om jag var i dina ~] if I were in your shoes
att spåra;to track- to trace
en styrelse;a council- an administrative board/committee
en intervju;an interview (loan word)
starkt;1. strongly- 2. very- extremely- 3. [~ kryddad] very spicy
slutligen;1. lastly- finally- 2. [sist och ~] in the end- ultimately
vag;1. vague- 2. [ett ~t minne] a vague recollection- a vague memory
tidigt;1. early- 2. [vem ringde så här ~?] who called this early in the morning?
en upplevelse;an experience- an adventure
en riktning;1. a direction- a course- 2. a movement- a tendency- a trend- 3. a sighting (on a weapon)
en vetenskap;a science
ett avsnitt;1. an episode (e.g. TV series)- 2. a section- a unit- a passage (of a novel- of a textbook)- 3. a part
en handel;1. a trade- a trading- doing business- 2. [utrikes~] foreign trade- 3. [människo~] human trafficking- 4. [en bok~] a bookshop
en sträckning;1. a strain (muscle injury)- 2. a stretch- a stretching- 3. an extension- 4. a direction- 5. the way sth. runs (a train line- a river)
att locka;1. to entice- to lure- 2. to curl
att redovisa;to show- to report
ett uttalande;a declaration- a pronouncement- a statement
respektive;respectively (loan word)
att para;1. to pair- to match together- 2. to pair- to mate- to copulate- 3. to combine
att störa;1. to disturb- 2. [~ ej] do not disturb
att komma ihåg;1. to remember- 2. to not forget- to remind oneself or someone else to do sth.
någonstans;somewhere- anywhere
en respekt;a respect (loan word)
att rapportera;to report (loan word)
knappt;1. hardly- barely- scarcely- 2. [att ha det ~] to be short of money
direkt;direct (loan word)
enkelt;basically- in a simple way
en omständighet;a circumstance
en hänsyn;1. a consideration- 2. [att ta ~ till] to make allowances for- to take into account- to consider- to bear in mind- 3. [~slös] inconsiderate- thoughtless
i kväll;this evening- tonight
att begära;1. to ask for sth.- to request sth.- 2. to apply for- 3. to sue for- 4. to covet- to desire s.o.
en rubrik;a headline (loan word from French)
att producera;1. to produce- to make- to build (loan word)- 2. [en ny~d lägenhet] a newly built apartment- a new build
en utsträckning;1. an extension- a prolongation- 2. an extent- a degree- 3. [i viss ~] to some extent- to a certain degree
anonym;anonymous (loan word)
att begå;to commit- to perform- to carry out (especially a crime)
bar;1. bare- naked- exposed- 2.   [att sova under ~ himmel] to sleep under the stars- 3.   [att bli tagen på ~ gärning] to be caught in the act- to be caught red-handed
en institution;1. an institute- school- department (in an academic institution)- 2. [engelska ~en] the English department- e.g. at a university (loan word)
att förstöra;to destroy- to ruin
en boll;a ball
att grunda;1. to found- to start- to set up (a company or other institution)- 2. [att ~ sig] to base sth. on (e.g. argument)- 3. to prime- to put a foundation coat on (painting)
förbi;1. past (as in walking past something)- 2. over (as in something which is finished)
en luft;1. an air- 2. [att hämta lite frisk ~] to get some fresh air
en industri;an industry (loan word)
ett tåg;1. a train- 2. [att stiga på ~et] to get on the train- 3. [att stiga av ~et] to get off the train- 4. a procession- a march- 5. a rope- a cable
att skada;1. to injure- to hurt- to damage- to harm- 2. to be bad for- to be detrimental to- 3. to impair
nordisk;Nordic
att uppfylla;to fulfil
att akta;1. to be careful with- to take care of- to mind- 2. to guard- protect- 3. [att ~ sig] to take care- to watch out- to be careful- be on your guard
en förhandling;a negotiation
att syfta;1. to aim- 2. [att ~ högt] to aim high- 3. [att ~ på något] to allude to sth.- to hint at- to refer to- to mean- 4. [vad ~er försöken till?] what is the purpose of these experiments?
en bror;1. a brother- 2. [min lille~] my little brother- 3. [min store~] my big brother
en byggnad;1. a building- 2. (a) construction- 3. [kroppens ~] the build of the body- 3. [språkets ~] the structure of the language
en hälft;1. a half- 2. [hans bättre ~] his better half
en skrift;1. (a) writing- 2. (a) handwriting- 3. characters- letters- 4. a written document- 5. [i tal och ~] in speech and in writing
ansvarig;1. responsible- 2. [~ för att göra något] responsible for doing something
en allmänhet;a general public (not a loan word)
att orsaka;to cause
i slutet;at the end
israelisk;Israeli
drygt;1. a little more than- 2. [om ~ en vecka] in just over a week- 3. haughtily
en lever;a liver
en bloggare;a blogger (loan word)
en tävling;1. a competition (e.g. a sporting competition)- a contest- 2. [att förlora en ~] to lose a contest
en kommunikation;a communication (loan word)
kritisk;critical (loan word)
att plocka;1. to pick- to gather- 2. [att ~ upp något] to pick something up- to take something out (e.g. out of a cupboard)
en patient;a patient (loan word)
att sjunga;to sing
att vakna;to wake up
en hälsa;a health
ett piratparti;a pirate party (political)
ett centrum;(a) downtown- a (village- town- city) centre- where shops and other amenities are found
otroligt;unbelievably- incredibly
roligt;1. fun- nice- 2. [att ha ~] to have fun- to enjoy oneself- to have a good time- 3. [vi kommer ha väldigt ~] and we're gonna have a hell of a good time
mörk;dark
att träna;to work out- to practice- to exercise (sport)
ett bord;1. a table- 2. [vid ~et] at the table
förrän;not before- not until (this word is only used with "inte")
dansk;1. Danish- 2. [att ge någon en ~ skalle] to headbutt someone
att vidta;to take (an action or measures)- to follow (as a response to)
att reda;to sort out- to order- to clarify
att mana;1. to urge- to advise- to counsel- 2. [att ~ på] to urge or spur s.o. on- 3. [att ~ till försiktighet] to counsel caution
en väljare;a voter
att uppmana;to make an urgent request
en publik;1. a public- 2. an audience- viewers- spectators- readers- etc. (loan word)
att lida;to suffer
ett motstånd;1. a resistance- an opposition- 2. [en ~srörelse] a resistance movement- 3. [att följa minsta ~ets lag] to follow the law of least resistance
en lägenhet;1. a flat- an apartment- 2. [~ sökes] flat wanted- apartment wanted
